1;482.41011089096224;butter
2;146.12181267408755;water
3;406.83578475155684;chemicals
4;455.3952442447403;industry machines
5;241.21759497006843;butter
6;139.20839822309182;meat
7;479.7475146960934;trees
8;452.70637981167226;chemicals
9;254.38275759773217;fruits
10;332.82711952367254;fruits
11;466.41474786046126;chemicals
12;264.9720140938107;fruits
13;294.8363172303581;construction materials
14;186.54524260752487;butter
15;148.99769212278682;trees
16;492.9511276712728;chemicals
17;126.26420224717003;fishes
18;193.18216773265183;trees
19;210.87609013141565;pipes
20;108.69819552547504;fishes
21;361.40008979426506;juice
22;333.81993358865515;milk
23;406.54067092270384;meat
24;488.9412275408016;butter
25;131.4273242052258;butter
26;433.0271231141297;milk
27;267.1417417348317;construction materials
28;336.8066150547997;fruits
29;477.3224663905039;trees
30;363.90694130415926;fruits
31;228.35606645818515;industry machines
32;470.70138584990707;construction materials
33;485.40357332858684;fishes
34;496.56584881997384;butter
35;400.3354307440811;trees
36;423.44572304039474;vegetables
37;260.370630973061;trees
38;152.4281010983525;pipes
39;186.69667214232055;meat
40;267.37464800971696;fruits
41;208.74377083593413;construction materials
42;160.4944107289691;butter
43;164.80315798593156;fruits
44;361.0973768319042;juice
45;419.8167512043626;water
46;424.1596553945648;fruits
47;468.97119825635303;pipes
48;203.91639198795008;meat
49;238.0489233852313;oil
50;437.56468235136;trees
51;228.71268920563242;water
52;397.5655772801949;juice
53;480.2183164366944;vegetables
54;189.66163786594686;butter
55;330.69638027180395;juice
56;430.9275269601084;fishes
57;315.6514888334178;oil
58;160.21984248178092;trees
59;103.77527079409248;fishes
60;122.73520274418752;fruits
61;104.43298008259745;chemicals
62;114.89109810302377;meat
63;378.1864814230299;juice
64;345.95113611700003;trees
65;301.677557550179;fishes
66;354.18836313934787;butter
67;141.8823764689374;juice
68;418.5501029164955;pipes
69;273.7231827688187;chemicals
70;324.81110267185375;oil
71;354.8980962624511;milk
72;466.80675639975414;oil
73;211.47042062667535;chemicals
74;141.17333181752;butter
75;121.70060451408679;pipes
76;256.9096593431527;trees
77;282.05629426538917;butter
78;490.25700179806086;vegetables
79;443.5983008579443;construction materials
80;395.786585033187;milk
81;198.60600378931838;fishes
82;491.0237205209178;pipes
83;482.5175359573211;industry machines
84;480.4331301443544;water
85;235.95545199087348;fishes
86;122.57191250901157;chemicals
87;161.77401154939577;chemicals
88;247.7877428873413;meat
89;199.98062342106078;oil
90;164.02439482109835;butter
91;332.88164042596816;milk
92;335.2909127006378;fruits
93;405.50683707304626;water
94;308.772928383186;juice
95;255.9506726159783;fishes
96;183.70485167354536;industry machines
